Bilgi / Ürün;Ekim Zamaný;Hasat Zamaný;Sýcaklýk (°C);Toprak Nemi;Rüzgar Koþulu;Not;;;;;
Armut;Kasým–Mart;Haziran – Eylül;15–25;Orta;Orta altý;"Soðuklama ihtiyacý yüksek; kýþ soðuklarý verimi artýrýr";;;;;
Arpa;Ekim–Kasým;Haziran – Temmuz;10–20;Orta;Çok þiddetli rüzgarlarda zarar görebilir;Kuraklýða dayanýklý, düþük sýcaklýkta çimlenebilir;;;;;
Ayçiçeði;Nisan–Mayýs;Aðustos–Eylül;20–30;Orta–Düþük;Orta;Çiçeklenme döneminde nem ihtiyacý artar, kuraklýk stresi zarar verir;;;;;""""
Ayva;Kasým–Mart;Ekim–Kasým;10–20;Orta;Orta;Kýþ soðuklarý çiçeklenme ve verim için gereklidir;;;;;
Bakla;Ekim–Kasým;Mayýs–Haziran;10–20;Yüksek;Hafif;Soðuða dayanýklý;;;;;
Bezelye;Þubat–Mart;Mayýs–Haziran;10–20;Orta;Orta;"Serin iklim sever; sýcak havada çiçeklenme bozulabilir";;;;;
Biber;Mart–Mayýs;Temmuz–Eylül;20–30;Yüksek;Orta;"Çiçeklenmede rüzgar zarar verir; düzenli sulama verimi artýrýr";;;;;
Buðday;Ekim–Kasým;Haziran–Temmuz;10–25;Orta;Orta;"Kýþlýk ekim verimi artýrýr; baþaklanma döneminde su isteði yüksektir";;;;;
Domates;Mart–Mayýs;Haz.–Eyl.;20–30;Yüksek;Orta;"Sýcak sever; kuraklýkta verim düþer, çatlama ve çiçek dökümü olabilir";;;;;
Elma;Kasým–Mart;Eylül–Kasým;15–25;Orta;Orta;"Soðuklama süresi önemli; sýcak bölgelerde kaliteli ürün zor";;;;;
Fasulye;Nisan–Mayýs;Temmuz–Eylül;18–25;Yüksek;Orta;"Sýcaklýk ister; çiçeklenmede soðuk hava ve aþýrý su zararlýdýr";;;;;
Ispanak;Eylül–Ekim;Kasým-Aralýk;10–18;Orta;Orta;"Serin hava sever; sýcakta yaprak kalitesi düþer";;;;;
Kabak;Mart–Mayýs;Temmuz–Eylül;20–30;Orta;Orta;"Güneþli ve sýcak hava ister; aþýrý sulama mantar riskini artýrýr";;;;;
Kanola;Ekim–Kasým;Haziran–Temmuz;10–20;Orta;Orta;"Kýþlýk ekim uygundur; ilkbahar donlarýna karþý dayanýklýdýr";;;;;
Karpuz;Mart–Mayýs;Temmuz–Aðustos;22–32;Yüksek;Orta;"Don riski olmamalý; yüksek sýcaklýkta þekerlenme artar";;;;;
Kavun;Mart–Mayýs;Temmuz–Aðustos;20–30;Orta;Orta;"Sýcak ve güneþli iklim sever; nemli hava hastalýk riskini artýrýr";;;;;
Marul;Nisan–Ekim;Haziran–Kasým;10–20;Orta–Yüksek;Hafif;"Sýcaklýk arttýkça acýlaþýr, baþ yapmaz; serin ve gölgeli alan uygun";;;;;
Patlýcan;Mart–Mayýs;Temmuz–Eylül;20–35;Orta;Orta;"Soðuða hassas; gece sýcaklýðý 15°C altýna düþmemeli";;;;;
Mýsýr Silajý;Nisan–Mayýs;Temmuz–Eylül;20–30;Yüksek;Orta;"Geliþim döneminde su stresi kritik; süt olum devresine dikkat edilmeli";;;;;
Turp;Eylül–Ekim;Kasým–Aralýk;10–18;Orta;Orta;" Soðuk iklimde daha iyi geliþir; sýcak havada liflenme olur";;;;;
Yulaf;Ekim–Kasým;Haziran–Temmuz ;10–20;Orta;Orta;"Kuraklýða dayanýklý; nemli toprakta daha hýzlý çimlenir";;;;;
